TURN_NAME,TEXT
Ses05M_impro04_M000,"Uh, God.  I don't know what to do anymore.  Like I said --"
Ses05M_impro04_F000,What do you mean?
Ses05M_impro04_M001,"I don't know.  There's nothing for me out there.  I can't get a job.  I haven't gotten a job in a year, three years.  What is it, three years now; right? That I haven't been able to have a job."
Ses05M_impro04_F001,Really? It's been that long?
Ses05M_impro04_M002,"Something like that.  I can't even remember anymore. I don't know what to do anymore.  I just get out there everyday -- well, not everyday, almost everyday."
Ses05M_impro04_F002,Wow.
Ses05M_impro04_M003,And try to do something. I mean-
Ses05M_impro04_F003,What have you been trying?
Ses05M_impro04_M004,"Well, everything.  I'll do temping, you know, office work.  You know, whatever to pay the bills.  You know, I'll do anything."
Ses05M_impro04_M005,"But, I mean, I don't want to keep those jobs.  I don't want those jobs.It's not what I want to do."
Ses05M_impro04_F004,Right.
Ses05M_impro04_M006,"But, I don't know.  God, what am I going to do?  Should I go back to school?  I can't- I can't afford to go back to school."
Ses05M_impro04_M007,What do you do?
Ses05M_impro04_F005,"Well, I mean, right now I'm just doing a little bit of everything.  And I don't- I don't think that I'm in like a profession, like career oriented place."
Ses05M_impro04_M008,"You plan on being there forever? I mean, Like, what do you --"
Ses05M_impro04_F006,"No.  I'm just working in restaurants and stuff. But, I'm also trying to audition and what not.  So, it's --"
Ses05M_impro04_M009,yeah.
Ses05M_impro04_M010,right.
Ses05M_impro04_M011,"Yeah, yeah.  Well, hello.  That's what I'm doing too.  But I can't get the restaurant job.  I can't get -- -- the restaurant gig.  No one will give me anything."
Ses05M_impro04_F007,Really?
Ses05M_impro04_M012,"I go in for these interviews, and they're all cool and everything, you know.  Their nice and I'm nice to them, you know, give and take, back and forth, and whatever."
Ses05M_impro04_M013,But they always go with somebody else.
Ses05M_impro04_F008,"L.A. is really hard.  I mean, have you tried like just going into a bar a couple of times to make friends with people who work there? and"
Ses05M_impro04_M014,"Yeah, absolutely.  Hello?  You know me.  I go to bars all the time.  Like, they all know me, you know.  But no one wants to hire me."
Ses05M_impro04_M015,"but Maybe they don't want to hire me because they know me. I don't know, what's wrong with me, Is there something wrong with me?"
