TURN_NAME,TEXT
Ses05F_script01_1_F000,What's he going to say? Maybe we should tell him before he sees it.
Ses05F_script01_1_M000,He saw it.
Ses05F_script01_1_F001,How could he see it?  I was the first one up.  He was still in bed.
Ses05F_script01_1_M001,He was out here when it broke.
Ses05F_script01_1_F002,When?
Ses05F_script01_1_M002,"Around Four this morning, and there was a crack and I looked out.  We're standing right there when I cracked."
Ses05F_script01_1_F003,What was he doing out here at four in the morning?
Ses05F_script01_1_M003,I don't know.  but When it cracked he ran back into the house and start to cry in the kitchen.
Ses05F_script01_1_F004,Did you talk to him?
Ses05F_script01_1_M004,No.  I figured it was best to leave him alone.
Ses05F_script01_1_F005,He cried hard.
Ses05F_script01_1_M005,I could hear him right through the floor of my room.
Ses05F_script01_1_F006,He is thinking about him again.
Ses05F_script01_1_F007,"It's getting just like after Larry died, he's having dreams, he's walking around at night."
Ses05F_script01_1_M006,"I guess, he is."
Ses05F_script01_1_F008,What's the meaning of that?
Ses05F_script01_1_M007,I don't know the meaning of it.  But I know one thing mom did.  We made a terrible mistake with dad.
Ses05F_script01_1_F009,What?
Ses05F_script01_1_M008,Being dishonest with him.  It's the kind of thing that pays off and now it's paying off.
Ses05F_script01_1_F010,"What do you mean, dishonest?"
Ses05F_script01_1_M009,"You know that Larry's not coming back, and I know it.  So why do we go on letting him think that we believe with him?"
Ses05F_script01_1_F011,"What are you going to do, argue with him?"
Ses05F_script01_1_M010,"No um, I don't want to argue with him, but it's time we realized that nobody else believes that Larry is alive."
Ses05F_script01_1_M011,"Why shouldn't he dream about him, walk around during the night, looking for him um.  Do we contradict him?  Do we say outright that we don't have any hope anymore, that we haven't had any for years now?"
Ses05F_script01_1_F012,You can't just say that to him.
Ses05F_script01_1_M012,We have to say it to him!
Ses05F_script01_1_F013,"How are you going to prove it, I mean, there's no body and there's no grave.  So what are you going to do? Do you have proof?"
Ses05F_script01_1_M013,"For God's sake, mom, three years.  Nobody comes back after three years!  It's insane!"
Ses05F_script01_1_F014,"To you it is, and to me, but not to your father.  Now look, you can talk yourself  blue in the face, but there's no body, and there's no grave, so where are you?"
Ses05F_script01_1_M014,"Sit down, mom.  I want to talk to you."
Ses05F_script01_1_F015,"The trouble with the god damned newspapers, I mean every week, they do a story about some boy's been gone longer than Larry and he comes back, so the next one is gonna--"
Ses05F_script01_1_M015,"All right, All right mom.  Listen!"
Ses05F_script01_1_M016,"You know why I asked Annie here, don't you?"
Ses05F_script01_1_F016,why?
Ses05F_script01_1_M017,You know.
Ses05F_script01_1_F017,Well I got an idea.  But what's the story?
Ses05F_script01_1_M018,I'm going to ask her to marry me.
Ses05F_script01_1_F018,"Well that's nobody's business but yours, Chris."
Ses05F_script01_1_M019,You know that's not just my business.
Ses05F_script01_1_F019,"What- What am - what are you going to do, I mean you're old enough to make up your own mind?"
Ses05F_script01_1_M020,So it's all right.  I can go ahead with it then?
Ses05F_script01_1_F020,Well you're want to make sure your father isn't you know going to--lose them
Ses05F_script01_1_M021,Then it's not only my business.  Sometimes you infuriate me.  You know that?
Ses05F_script01_1_M022,"You know that?  Isn't it your business too, if I tell dad, and he gets, throws a fit about it?   you have such a talent for ignoring things!"
