TURN_NAME,TEXT
Ses05M_script01_1_F000,What's he going to say?  Maybe we should tell him before he sees it.
Ses05M_script01_1_M000,He saw it.
Ses05M_script01_1_F001,When?  I was the first one up.  He was still in bed.  How could he have seen it?
Ses05M_script01_1_M001,He was out here when it broke.
Ses05M_script01_1_F002,When?
Ses05M_script01_1_M002,"I don't know, like, four o'clock this morning.  I heard a crack, and I woke up, and I looked out the window and he was standing right there when it broke."
Ses05M_script01_1_F003,What was he doing out here at four in the morning?
Ses05M_script01_1_M003,"I don't know, but after it broke he ran back inside and started crying in the kitchen."
Ses05M_script01_1_F004,Did you talk to him?
Ses05M_script01_1_M004,No.  I figured it was best to leave him alone.
Ses05M_script01_1_F005,He cried hard?
Ses05M_script01_1_M005,I could hear him right through the floor in my room.
Ses05M_script01_1_F006,"What was he doing out there at that hour?  He's getting just like after Larry died, walking around at night.  He dreams."
Ses05M_script01_1_M006,I guess he is.
Ses05M_script01_1_F007,What's the meaning of that?
Ses05M_script01_1_M007,"I don't know the meaning of it, but you know one thing Mom, we made a terrible mistake with dad."
Ses05M_script01_1_F008,What?
Ses05M_script01_1_M008,Being dishonest with him.  It's the kind of thing that pays off and now it's paying off.
Ses05M_script01_1_F009,What do you mean dishonest?
Ses05M_script01_1_M009,You know that Larry's not coming back and I know it.  So why do we go on letting him think that we believe with him?
Ses05M_script01_1_F010,"What do you want to do, argue with him?"
Ses05M_script01_1_M010,I don't want to argue with him.  But it's time he knows that nobody else thinks that Larry's alive anymore.
Ses05M_script01_1_M011,"Why should he dream about him, walking around looking for him at night?  Do we contradict him?  Do we say straight out that we don't have any hope anymore, that we haven't had any hope for years now?"
Ses05M_script01_1_F011,You can't say that to him.
Ses05M_script01_1_M012,We have to say it to him.
Ses05M_script01_1_F012,how are you gonna prove it?  Can you prove it?
Ses05M_script01_1_M013,For Gods sake!  Three years!  Nobody comes back after three years.  That's insane!
Ses05M_script01_1_F013,"To you it is and to me, but not to him.  Now you can talk yourself until you're blue in the face, Chris, but there's no body and there's no grave.  So where are you?"
Ses05M_script01_1_M014,"Sit down, mom.  I want to talk to you."
Ses05M_script01_1_F014,"The trouble is the God damn newspapers.  I mean every every week a kid turns up, missing like longer than Larry."
Ses05M_script01_1_M015,"All right.  All right, mom.  Just listen.  You know why I invited Annie her, don't you?"
Ses05M_script01_1_F015,Why?
Ses05M_script01_1_M016,You know.
Ses05M_script01_1_F016,"Well, I have an idea.  But what's the story?"
Ses05M_script01_1_M017,I'm going to ask her to marry me.
