% [START_TIME - END_TIME],TURN_NAME,EMOTION,"[V, A, D]"
[8.8100 - 10.9600],Ses05M_script03_2_F000,xxx,"[2.5000, 3.0000, 3.0000]"
[13.1300 - 15.5200],Ses05M_script03_2_F001,neu,"[2.0000, 3.0000, 3.5000]"
[17.7900 - 21.4300],Ses05M_script03_2_F002,neu,"[2.5000, 3.0000, 3.0000]"
[24.9496 - 30.4600],Ses05M_script03_2_F003,fru,"[2.5000, 2.5000, 3.5000]"
[32.1200 - 35.5500],Ses05M_script03_2_F004,neu,"[3.5000, 3.0000, 3.0000]"
[37.1200 - 38.5800],Ses05M_script03_2_F005,neu,"[2.0000, 2.5000, 3.0000]"
[39.2300 - 42.4900],Ses05M_script03_2_F006,neu,"[2.0000, 3.5000, 4.0000]"
[43.2400 - 47.3100],Ses05M_script03_2_F007,xxx,"[2.5000, 3.5000, 4.0000]"
[48.6300 - 51.5000],Ses05M_script03_2_F008,fru,"[2.0000, 2.5000, 3.0000]"
[55.6400 - 57.2800],Ses05M_script03_2_F009,neu,"[3.0000, 2.0000, 2.5000]"
[58.9800 - 62.8400],Ses05M_script03_2_F010,xxx,"[2.0000, 2.0000, 3.5000]"
[65.4000 - 68.9800],Ses05M_script03_2_F011,xxx,"[2.5000, 2.5000, 3.0000]"
[77.0000 - 79.5900],Ses05M_script03_2_F012,neu,"[2.5000, 2.0000, 3.0000]"
[82.2600 - 84.4600],Ses05M_script03_2_F013,fru,"[1.5000, 2.5000, 3.5000]"
[85.0300 - 86.0700],Ses05M_script03_2_F014,xxx,"[1.5000, 3.5000, 3.5000]"
[92.1900 - 94.9900],Ses05M_script03_2_F015,neu,"[2.5000, 3.0000, 3.0000]"
[98.5400 - 102.7200],Ses05M_script03_2_F016,xxx,"[2.5000, 3.5000, 3.0000]"
[103.3200 - 104.7400],Ses05M_script03_2_F017,ang,"[2.0000, 3.0000, 3.5000]"
[104.8700 - 107.7200],Ses05M_script03_2_F018,ang,"[1.5000, 3.0000, 4.0000]"
[112.6000 - 116.1000],Ses05M_script03_2_F019,xxx,"[2.0000, 3.0000, 4.0000]"
[117.2700 - 119.5000],Ses05M_script03_2_F020,xxx,"[3.5000, 3.0000, 4.0000]"
[121.8400 - 123.0985],Ses05M_script03_2_F021,fru,"[2.0000, 3.5000, 4.0000]"
[123.1085 - 127.6600],Ses05M_script03_2_F022,xxx,"[1.5000, 4.5000, 5.0000]"
[135.4000 - 137.2600],Ses05M_script03_2_F023,neu,"[3.5000, 3.0000, 3.5000]"
[139.7100 - 142.3200],Ses05M_script03_2_F024,xxx,"[4.0000, 2.5000, 3.0000]"
[147.6300 - 151.3600],Ses05M_script03_2_F025,fru,"[2.0000, 4.0000, 4.0000]"
[153.0200 - 154.8600],Ses05M_script03_2_F026,neu,"[2.5000, 3.0000, 3.0000]"
[161.7500 - 166.2900],Ses05M_script03_2_F027,xxx,"[2.0000, 3.0000, 4.5000]"
[169.4400 - 172.3200],Ses05M_script03_2_F028,ang,"[2.5000, 2.5000, 3.5000]"
[177.1200 - 180.3500],Ses05M_script03_2_F029,fru,"[2.5000, 2.5000, 3.5000]"
[188.5200 - 190.4000],Ses05M_script03_2_F030,xxx,"[3.0000, 2.0000, 2.5000]"
[193.7000 - 196.8500],Ses05M_script03_2_F031,xxx,"[3.0000, 3.5000, 3.5000]"
[197.7600 - 199.5700],Ses05M_script03_2_F032,xxx,"[4.0000, 2.5000, 3.5000]"
[201.6300 - 203.6900],Ses05M_script03_2_F033,xxx,"[2.5000, 3.5000, 3.5000]"
[205.1300 - 209.4100],Ses05M_script03_2_F034,ang,"[2.0000, 3.5000, 4.0000]"
[212.4400 - 215.4500],Ses05M_script03_2_F035,ang,"[1.5000, 3.5000, 3.5000]"
[215.7200 - 219.0600],Ses05M_script03_2_F036,ang,"[1.5000, 4.5000, 4.0000]"
[222.6300 - 227.9500],Ses05M_script03_2_F037,ang,"[2.0000, 3.5000, 4.5000]"
[230.2800 - 236.8700],Ses05M_script03_2_F038,ang,"[1.5000, 4.5000, 4.5000]"
[243.0400 - 246.3600],Ses05M_script03_2_F039,ang,"[1.5000, 4.5000, 4.5000]"
[246.3700 - 248.7500],Ses05M_script03_2_F040,ang,"[1.0000, 4.5000, 5.0000]"
[248.7600 - 257.3000],Ses05M_script03_2_F041,ang,"[1.5000, 4.5000, 5.0000]"
[259.4500 - 260.4100],Ses05M_script03_2_F042,ang,"[2.0000, 4.5000, 4.5000]"
[260.4200 - 261.4300],Ses05M_script03_2_F043,ang,"[1.5000, 4.5000, 5.0000]"
[261.9100 - 263.0700],Ses05M_script03_2_F044,ang,"[1.0000, 4.5000, 5.0000]"
[4.3240 - 9.3400],Ses05M_script03_2_M000,xxx,"[3.5000, 4.0000, 4.0000]"
[10.4400 - 13.7100],Ses05M_script03_2_M001,xxx,"[2.0000, 3.5000, 3.5000]"
[15.0600 - 18.9800],Ses05M_script03_2_M002,xxx,"[2.0000, 4.0000, 4.0000]"
[21.1100 - 25.4000],Ses05M_script03_2_M003,xxx,"[2.5000, 3.5000, 4.0000]"
[29.7800 - 32.9700],Ses05M_script03_2_M004,fru,"[2.5000, 3.5000, 3.5000]"
[34.8500 - 37.6200],Ses05M_script03_2_M005,fru,"[2.0000, 4.0000, 4.0000]"
[38.2400 - 39.8900],Ses05M_script03_2_M006,xxx,"[1.5000, 3.5000, 4.0000]"
[41.8900 - 43.7700],Ses05M_script03_2_M007,xxx,"[2.0000, 4.0000, 4.0000]"
[46.3500 - 49.2000],Ses05M_script03_2_M008,ang,"[1.5000, 4.0000, 4.5000]"
[50.7000 - 52.9500],Ses05M_script03_2_M009,ang,"[2.0000, 3.5000, 4.0000]"
[54.1500 - 56.0400],Ses05M_script03_2_M010,neu,"[3.0000, 2.5000, 2.0000]"
[57.2500 - 59.1300],Ses05M_script03_2_M011,neu,"[3.0000, 3.5000, 3.0000]"
[62.2700 - 65.9300],Ses05M_script03_2_M012,xxx,"[3.0000, 3.0000, 3.5000]"
[68.3600 - 77.7000],Ses05M_script03_2_M013,xxx,"[2.0000, 3.5000, 4.0000]"
[78.8500 - 83.0000],Ses05M_script03_2_M014,xxx,"[1.5000, 3.5000, 4.0000]"
[84.0600 - 86.0600],Ses05M_script03_2_M015,ang,"[1.5000, 3.0000, 3.5000]"
[87.0900 - 92.7300],Ses05M_script03_2_M016,fru,"[2.5000, 3.0000, 3.0000]"
[94.5500 - 98.9600],Ses05M_script03_2_M017,fru,"[4.0000, 3.0000, 3.0000]"
[101.8100 - 103.9800],Ses05M_script03_2_M018,xxx,"[3.5000, 3.0000, 3.0000]"
[104.0100 - 105.1900],Ses05M_script03_2_M019,xxx,"[2.5000, 3.0000, 3.5000]"
[107.9400 - 113.2900],Ses05M_script03_2_M020,ang,"[2.5000, 3.0000, 3.5000]"
[115.3900 - 117.7900],Ses05M_script03_2_M021,xxx,"[2.0000, 3.5000, 4.0000]"
[118.8300 - 122.3300],Ses05M_script03_2_M022,fru,"[1.5000, 3.5000, 4.0000]"
[122.3400 - 123.5900],Ses05M_script03_2_M023,ang,"[1.5000, 4.0000, 4.5000]"
[129.4400 - 136.1000],Ses05M_script03_2_M024,neu,"[2.5000, 3.0000, 4.0000]"
[136.8800 - 141.2000],Ses05M_script03_2_M025,ang,"[3.5000, 3.0000, 3.5000]"
[141.9200 - 149.3500],Ses05M_script03_2_M026,ang,"[1.5000, 4.0000, 4.5000]"
[150.7700 - 153.7600],Ses05M_script03_2_M027,ang,"[2.0000, 3.5000, 4.5000]"
[154.3900 - 162.3300],Ses05M_script03_2_M028,ang,"[1.5000, 4.0000, 5.0000]"
[165.2600 - 169.8100],Ses05M_script03_2_M029,ang,"[2.0000, 4.5000, 4.5000]"
[172.0500 - 177.6500],Ses05M_script03_2_M030,ang,"[2.0000, 5.0000, 4.5000]"
[179.6000 - 183.2400],Ses05M_script03_2_M031,ang,"[1.5000, 4.0000, 4.5000]"
[186.8900 - 188.9900],Ses05M_script03_2_M032,ang,"[2.0000, 3.5000, 3.5000]"
[190.3300 - 193.9600],Ses05M_script03_2_M033,ang,"[2.5000, 3.5000, 3.5000]"
[196.1700 - 198.6600],Ses05M_script03_2_M034,ang,"[2.5000, 3.5000, 3.5000]"
[198.8600 - 201.7200],Ses05M_script03_2_M035,ang,"[2.0000, 3.5000, 4.0000]"
[203.0700 - 205.2300],Ses05M_script03_2_M036,ang,"[2.5000, 3.5000, 3.5000]"
[210.8600 - 213.3600],Ses05M_script03_2_M037,ang,"[1.0000, 4.0000, 4.5000]"
[214.7900 - 216.2300],Ses05M_script03_2_M038,ang,"[1.5000, 4.0000, 4.5000]"
[218.8300 - 221.3700],Ses05M_script03_2_M039,ang,"[2.0000, 3.0000, 4.0000]"
[227.4800 - 230.8500],Ses05M_script03_2_M040,ang,"[4.0000, 4.0000, 3.5000]"
[236.5700 - 244.8300],Ses05M_script03_2_M041,ang,"[1.0000, 4.5000, 5.0000]"
[244.8400 - 246.5800],Ses05M_script03_2_M042,ang,"[1.0000, 4.5000, 4.5000]"
[246.5900 - 248.8300],Ses05M_script03_2_M043,ang,"[1.5000, 4.0000, 4.5000]"
[255.8600 - 260.3300],Ses05M_script03_2_M044,ang,"[1.0000, 5.0000, 5.0000]"
[260.3400 - 266.3500],Ses05M_script03_2_M045,ang,"[1.0000, 5.0000, 5.0000]"
