% [START_TIME - END_TIME],TURN_NAME,EMOTION,"[V, A, D]"
[10.2102 - 15.6070],Ses05F_impro06_F000,sad,"[2.0000, 2.0000, 3.0000]"
[21.2500 - 27.5580],Ses05F_impro06_F001,sad,"[2.0000, 2.5000, 3.0000]"
[27.9065 - 35.5400],Ses05F_impro06_F002,sad,"[1.5000, 2.0000, 3.0000]"
[42.8100 - 47.2600],Ses05F_impro06_F003,sad,"[1.5000, 2.5000, 3.0000]"
[48.5000 - 49.9800],Ses05F_impro06_F004,sad,"[2.0000, 2.5000, 2.5000]"
[58.2100 - 59.5700],Ses05F_impro06_F005,sad,"[1.5000, 2.5000, 2.5000]"
[60.2000 - 64.5300],Ses05F_impro06_F006,sad,"[1.5000, 2.5000, 4.0000]"
[69.5700 - 71.5400],Ses05F_impro06_F007,sad,"[2.0000, 2.0000, 3.5000]"
[71.5800 - 73.9400],Ses05F_impro06_F008,sad,"[1.5000, 1.5000, 3.5000]"
[75.3900 - 79.4200],Ses05F_impro06_F009,sad,"[2.0000, 2.5000, 3.0000]"
[85.3100 - 87.7300],Ses05F_impro06_F010,sad,"[2.5000, 2.5000, 3.0000]"
[92.2200 - 99.8000],Ses05F_impro06_F011,sad,"[2.0000, 2.0000, 2.5000]"
[103.5100 - 107.6400],Ses05F_impro06_F012,sad,"[1.5000, 2.5000, 3.0000]"
[108.7600 - 111.9300],Ses05F_impro06_F013,sad,"[2.0000, 3.0000, 4.0000]"
[114.1700 - 119.6000],Ses05F_impro06_F014,sad,"[2.5000, 2.5000, 3.0000]"
[120.6600 - 122.3200],Ses05F_impro06_F015,sad,"[2.0000, 2.0000, 2.5000]"
[123.9500 - 128.7400],Ses05F_impro06_F016,sad,"[1.5000, 2.0000, 3.0000]"
[136.6800 - 140.1300],Ses05F_impro06_F017,sad,"[2.0000, 2.5000, 3.0000]"
[143.2700 - 144.7800],Ses05F_impro06_F018,sad,"[2.0000, 3.0000, 3.0000]"
[148.7700 - 153.8700],Ses05F_impro06_F019,sad,"[2.5000, 3.0000, 3.0000]"
[157.2900 - 158.6900],Ses05F_impro06_F020,sad,"[2.5000, 2.5000, 2.5000]"
[159.8700 - 164.7700],Ses05F_impro06_F021,sad,"[2.5000, 3.0000, 3.0000]"
[165.5800 - 172.2900],Ses05F_impro06_F022,sad,"[2.0000, 3.0000, 3.5000]"
[172.5400 - 179.2000],Ses05F_impro06_F023,sad,"[2.0000, 3.5000, 3.0000]"
[185.9500 - 187.5100],Ses05F_impro06_F024,sad,"[1.5000, 3.0000, 2.0000]"
[200.2700 - 202.1200],Ses05F_impro06_F025,sad,"[3.0000, 2.0000, 2.5000]"
[203.3100 - 207.2700],Ses05F_impro06_F026,sad,"[2.0000, 2.0000, 3.0000]"
[208.7300 - 210.5200],Ses05F_impro06_F027,sad,"[2.0000, 2.5000, 2.5000]"
[215.3500 - 217.1500],Ses05F_impro06_F028,xxx,"[4.5000, 3.0000, 3.5000]"
[220.7800 - 222.7600],Ses05F_impro06_F029,sad,"[2.5000, 2.5000, 2.5000]"
[6.3966 - 9.3642],Ses05F_impro06_M000,xxx,"[2.5000, 3.0000, 2.5000]"
[15.6700 - 21.0373],Ses05F_impro06_M001,sad,"[1.5000, 3.0000, 3.0000]"
[36.2900 - 43.3500],Ses05F_impro06_M002,sad,"[2.0000, 2.0000, 3.5000]"
[50.1700 - 53.8800],Ses05F_impro06_M003,sad,"[2.0000, 2.5000, 2.5000]"
[54.9200 - 58.5500],Ses05F_impro06_M004,sad,"[2.0000, 2.5000, 3.0000]"
[64.2400 - 67.0000],Ses05F_impro06_M005,sad,"[2.0000, 3.0000, 3.5000]"
[67.7200 - 69.1600],Ses05F_impro06_M006,sad,"[2.5000, 2.0000, 2.5000]"
[70.5100 - 72.2600],Ses05F_impro06_M007,sad,"[2.5000, 2.5000, 3.5000]"
[78.9500 - 85.5600],Ses05F_impro06_M008,sad,"[2.5000, 3.0000, 3.0000]"
[87.3200 - 88.8300],Ses05F_impro06_M009,sad,"[3.0000, 2.5000, 2.5000]"
[90.2500 - 92.8100],Ses05F_impro06_M010,neu,"[3.0000, 2.5000, 3.0000]"
[107.0300 - 109.2000],Ses05F_impro06_M011,sad,"[2.5000, 2.0000, 3.5000]"
[111.4700 - 114.0600],Ses05F_impro06_M012,neu,"[2.5000, 2.5000, 3.0000]"
[119.1800 - 120.8577],Ses05F_impro06_M013,neu,"[2.5000, 2.0000, 2.5000]"
[129.2400 - 133.9100],Ses05F_impro06_M014,sad,"[2.0000, 2.5000, 3.5000]"
[140.2000 - 144.2500],Ses05F_impro06_M015,xxx,"[2.5000, 2.5000, 3.5000]"
[144.2900 - 145.9900],Ses05F_impro06_M016,xxx,"[3.0000, 2.0000, 3.0000]"
[146.3600 - 149.2100],Ses05F_impro06_M017,neu,"[2.5000, 2.0000, 2.5000]"
[155.0600 - 157.7158],Ses05F_impro06_M018,neu,"[3.0000, 3.0000, 3.0000]"
[158.0500 - 159.8900],Ses05F_impro06_M019,neu,"[3.0000, 2.0000, 2.5000]"
[178.7400 - 184.4600],Ses05F_impro06_M020,sad,"[2.0000, 3.0000, 3.0000]"
[184.7000 - 186.3400],Ses05F_impro06_M021,neu,"[3.0000, 2.0000, 2.5000]"
[187.9000 - 200.7100],Ses05F_impro06_M022,neu,"[2.5000, 3.5000, 4.0000]"
[201.6100 - 203.7000],Ses05F_impro06_M023,neu,"[3.0000, 2.0000, 2.5000]"
[207.0900 - 209.0700],Ses05F_impro06_M024,neu,"[2.5000, 2.0000, 2.5000]"
[210.4800 - 221.8500],Ses05F_impro06_M025,neu,"[4.0000, 3.0000, 4.0000]"
